"","LPI_final","CI_low","CI_high","years","label","sim"
"176",0.987077991847934,0.984416614712601,0.989652860808327,1983,"convex",1
"177",0.985001792741208,0.98235284557531,0.98766650803768,1984,"convex",1
"178",0.982705789992463,0.980085219359563,0.985313339869387,1985,"convex",1
"179",0.980034741998391,0.977403599783783,0.98262891669898,1986,"convex",1
"180",0.976857099743094,0.974144065023765,0.97962253454708,1987,"convex",1
"181",0.973154842008279,0.970383664414159,0.975908523847613,1988,"convex",1
"182",0.968994495018345,0.966237088892345,0.971656045040306,1989,"convex",1
"183",0.964693276240718,0.96198872007053,0.967389365319434,1990,"convex",1
"184",0.959973458932568,0.957259885201237,0.962584649495954,1991,"convex",1
"185",0.954649019139484,0.951891125910069,0.957278031679264,1992,"convex",1
"186",0.948644843092288,0.945831915608739,0.951319731961776,1993,"convex",1
"187",0.941931427485443,0.939061185508064,0.944701255358512,1994,"convex",1
"188",0.934768882808038,0.93178863531417,0.937601926851182,1995,"convex",1
"189",0.927177458406015,0.924242957447241,0.929969268655239,1996,"convex",1
"190",0.918973882268451,0.915997295468714,0.92179850946485,1997,"convex",1
"191",0.909932694816527,0.906890114087683,0.912760350885857,1998,"convex",1
"192",0.90005200291826,0.897046804895055,0.902840281236311,1999,"convex",1
"193",0.889392341096234,0.886362002459359,0.892143678129238,2000,"convex",1
"194",0.878104928534003,0.875172174465153,0.880917592839645,2001,"convex",1
